,reinforcement learning,Weight,blockchain,Weight,research and development,Weight,chess,Weight,regulation,Weight,policy of facial recognition,Weight,robots,Weight,healthcare,Weight,processor and graphics,Weight,politics,Weight,turing,Weight,autonomous driving cars,Weight,cloud,Weight,speech and sound recognition,Weight,investments in technology,Weight,visual detection,Weight,neural network,Weight,scanning data,Weight,ethnics,Weight,privacy,Weight,workforce analytics,Weight,technology startup,Weight,mulitasking AI,Weight,devices,Weight,NLP,Weight,MIT and computer science,Weight,AI in defense,Weight,bot and gaming,Weight,undesired content,Weight,chip market,Weight
0,open,0.2487,cloud,0.2597,project,0.201,jie,0.1693,society,0.1178,public,0.2678,action,0.1227,diagnosis,0.167,graphic,0.1481,use,0.1665,intelligence,0.3309,transportation,0.1418,machine,0.1455,recording,0.2335,billion,0.1175,algorithm,0.237,translation,0.1395,way,0.17,people,0.1668,search,0.1324,education,0.1792,investor,0.1986,release,0.0995,970,0.1073,say,0.1706,eec,0.1469,company,0.1619,dota,0.1186,remove,0.1477,devcloud,0.0741
1,build,0.268,industry,0.2636,collaboration,0.2021,ke,0.1716,world,0.1195,face,0.2914,control,0.1235,datum,0.1706,graphcore,0.1562,campaign,0.1679,know,0.3355,driverless,0.1501,nt,0.1563,echo,0.2496,technology,0.121,recognition,0.239,task,0.1407,internet,0.1709,light,0.1696,privacy,0.1366,government,0.1947,startup,0.1999,world,0.1027,dedicated,0.1082,molecule,0.1729,new,0.1581,say,0.174,kik,0.1262,flag,0.1543,deep,0.0746
2,lab,0.2882,event,0.2642,say,0.2068,chess,0.1717,regulation,0.1253,say,0.2917,say,0.124,risk,0.2027,gpu,0.1615,political,0.1689,turing,0.3513,sensor,0.1511,software,0.1597,home,0.25,investment,0.1227,researcher,0.285,recognize,0.1432,people,0.1717,algorithmic,0.1801,company,0.1442,workforce,0.1981,solution,0.2029,say,0.1065,performance,0.1308,language,0.1756,school,0.1643,employee,0.1829,game,0.1423,post,0.1544,market,0.0969
3,lecun,0.3075,located,0.2682,ibm,0.2662,machine,0.1853,industry,0.1259,government,0.3104,humanoid,0.1291,clinical,0.2227,server,0.1622,politician,0.1727,make,0.3613,rus,0.157,engine,0.168,conversation,0.2577,national,0.1379,train,0.2986,input,0.1506,build,0.1832,decision,0.1907,xnorai,0.1606,report,0.2016,analytic,0.2032,news,0.1082,flagship,0.1373,prediction,0.1783,discipline,0.1648,national,0.1847,xiaoice,0.1437,twitter,0.1588,ice,0.0988
4,software,0.3249,locate,0.2752,csail,0.2829,beat,0.1939,technology,0.1432,amazon,0.3138,rus,0.1564,treatment,0.2581,device,0.1654,disinformation,0.1768,just,0.3762,driving,0.1662,app,0.1809,user,0.2644,sensetime,0.139,model,0.3018,train,0.1616,use,0.1842,skin,0.2084,device,0.1733,economy,0.2096,technology,0.2089,ai,0.1167,feature,0.1419,learn,0.1814,chair,0.1759,technology,0.193,conversational,0.1472,platform,0.1724,performance,0.1012
5,algorithm,0.3368,cyber,0.2845,computer,0.3045,human,0.2141,uk,0.1687,enforcement,0.3161,environment,0.1686,disease,0.2661,new,0.1743,news,0.177,thing,0.3957,safe,0.1802,say,0.197,speech,0.2776,american,0.1515,computer,0.3118,output,0.1719,schroepfer,0.1855,buolamwini,0.2213,machine,0.1773,task,0.2104,insight,0.2264,software,0.1332,device,0.1458,machine,0.1845,science,0.1846,department,0.2064,duplex,0.1564,moderation,0.1742,inference,0.1042
6,ai,0.3462,attend,0.2853,student,0.3371,win,0.2921,microsoft,0.1715,ban,0.3269,motion,0.1688,nhs,0.2673,tpu,0.1814,pornographic,0.1879,like,0.4339,traffic,0.1955,tensorflow,0.2027,sound,0.2909,ai,0.1549,pixel,0.3163,researcher,0.2043,open,0.2019,black,0.2405,salakhutdinov,0.1856,future,0.2212,platform,0.2544,fake,0.1376,pro,0.1483,word,0.1862,department,0.2025,principle,0.2105,app,0.1666,speech,0.1955,ai,0.1054
7,bengio,0.3885,blockchain,0.2874,intelligence,0.3584,deepmind,0.394,ethic,0.1745,aclu,0.3425,arm,0.1744,healthcare,0.3053,run,0.1853,pelosi,0.2368,people,0.4501,map,0.2173,dean,0.2242,virtual,0.3128,beijing,0.1927,vision,0.3191,weight,0.2236,language,0.2089,dark,0.3161,federighi,0.2118,income,0.2316,service,0.2827,tesla,0.1467,expo,0.1544,science,0.188,student,0.2232,weapon,0.2768,player,0.1696,news,0.2163,xeon,0.1064
8,ng,0.396,upcoming,0.2889,professor,0.3586,lee,0.438,ethical,0.1769,surveillance,0.3428,csail,0.1828,hospital,0.3339,processor,0.1856,zuckerberg,0.2389,brain,0.4591,self,0.2906,pichai,0.2373,audio,0.382,li,0.1988,video,0.3572,brain,0.364,tool,0.2157,woman,0.3522,ml,0.2123,policy,0.2412,product,0.2921,elon,0.1603,samsung,0.175,algorithm,0.1884,compute,0.2552,project,0.3548,microsoft,0.1706,recommendation,0.2235,chip,0.1118
9,reinforcement,0.4181,amsterdam,0.2892,lab,0.3646,match,0.4611,development,0.1794,law,0.3478,human,0.2296,cancer,0.3662,design,0.2054,face,0.2623,say,0.4978,road,0.4085,cloud,0.2526,siri,0.4382,company,0.2393,gan,0.3722,net,0.3728,say,0.2748,gender,0.3692,developer,0.2415,technology,0.247,venture,0.3098,brockman,0.1626,ai,0.2153,material,0.2136,computing,0.293,contract,0.389,human,0.1756,video,0.2239,baidu,0.1286
10,hinton,0.4643,leader,0.2986,research,0.3804,player,0.4841,business,0.193,use,0.3538,task,0.2426,care,0.4074,power,0.2245,election,0.2782,machine,0.5042,autonomous,0.4252,microsoft,0.3436,device,0.4524,baidu,0.2569,photo,0.4131,node,0.4079,lecun,0.305,male,0.3711,app,0.2693,skill,0.2845,data,0.3176,dota,0.1747,npu,0.2196,use,0.2216,schwarzman,0.3052,defense,0.4394,chat,0.1831,fake,0.2873,nervana,0.1366
